post,subject
"请教：中级财务会计。
20X1年1月1日，甲公司以银行存款5000000元购入乙公司30%的股份作为长期股权投资，采用权益法核算。乙公司20X1年1月1日可辨认净资产账面价值为14000000元，公允价值为15000000元，差额全部为固定资产的价值差额(假定固定资产采用直线法计提折旧，剩余平均折旧年限为20年，不考虑净残值)。发生的有关业务如下:
(1)20X1年5月乙公司宣告分派现金股利1000000元。(2)20X1年乙公司实现净利润2000000元。
(3)20X1年乙公司其他综合收益增加300000元。
要求:编制甲公司相关的会计分录。",财会
Richardson的预期投资模型究竟是应该用动态面板模型来做？还是用固定效应模型来做？。,财会
"求问企业现金存量指标如何获取。 
 计算KZ指数需要用到现金存量，请问现金存量具体是哪个指标呢，怎么获取呢？",财会
"关于用解释变量滞后一期方法解决内生性问题。
我研究的是年报披露及时性和融资成本的关系，我想请问一下如果采用滞后一期的方法的话，融资成本如果是2015年的话，那么是不是应该采用2013年的年报，因为2013年年报是在2014年披露，这样才算滞后一期？",财会
"现金流分类组合法划分企业生命周期。
谁会用现金流分类组合法划分企业生命周期，我想知道具体怎样操作，求大神指导，万分感谢！！！",财会
请问各位大佬。VIE架构下境内单家协议控制其他公司，控制方需要做长期股权投资吗。,财会
"论文选题。
领导者性格，家族企业文化对企业转型升级的影响??这个论文题目怎么样，如果需要修改的话怎样修改比较好",财会
"假说?假设?。
瓦茨和齐默尔曼在其著作《实证会计理论》中提到的三大假说是什么？",财会
"求公共部门经济学的外部性解决措施，关于可交易许可证的有关知识。
可交易许可证的有关知识",财会
"请教各位怎样得到Richardson预期投资模型的残差。
??目前我已经整理了关于Richardson模型相关变量的数据，例如托宾q值等。可是只会将整个样本回归，请教各位怎样运用eviews或者spss得到每条记录的残差？做不出啊，请各位大神帮帮忙吧！！！",财会
求助！请问，建设项目中的总成本费用里面的经营成本含增值税吗？。,财会
"固定效应模型中分类讨论的命令是什么？。
固定效应模型中分类讨论的命令是什么？
其中有一个变量，产权性质想要分类讨论，就是讨论国有和非国有两种情况下的回归如何，命令应该怎么写？
写成xtregyx1x1??x3??i.timeifx==1,fe
写成xtregyx1x1??x3??i.timeifx==0,fe可以嘛？为什么结果是一样的？",财会
"求USGAAP与IFRS的区别。
急急急！！！！！！",财会
"一家以出租设备为主销售设备为辅的租赁公司账务怎么做？。
一家以出租设备为主销售设备为辅的租赁公司账务怎么做？越详细越好，从购入设备，到出入库，再到出租，销售设备，设备减值，折旧等都用到那些会计科目，以及发生业务时候会计分录怎么写",财会
"税后利润真的是净利润吗？。
我们通常说的净利润是指利润总额减去所得税费用，但是我们往往在税法是多交或少交税，在以后年度少交或者多交。形成递延所得税资产惑递延所得税负债，真正发生的应交税费应该是真正企业当期交的税费啊",财会
"求助。 
 影响税收筹划的因素有哪些?",财会
"如何搜集对外投资的经营不合规企业名单。 
 如何搜集对外投资过程中经营不合规的中国企业名单呢？除了世界银行发布的制裁名单还有什么其他的搜集方法吗？",财会
"理解会计知识点。
问：为什么通过发行权益性证券方式能够获取长期股权投资呢？怎样理解这种通过非货币性资产取得的长投呢？",财会
"soletrader是否具有法人资格。
??我想请问一下，sole??trader是否有独立的法人资格，在做报表时，如果owner拿走存货自己用，那账该怎么记呢？",财会
"PSM-DID。 
 PSM-DID 第一阶段的匹配变量一定要作为DID回归的控制变量吗？",财会
关于高新技术企业数据获得的问题。,财会
"请教大家这个交乘项怎么解释啊。
大家好，我近日在做一个回归，想请教一下这个交乘项该怎么解释，??回归方程为：Tunnel=a0+a1Plc+a2GDP+a3Plc*GDP，其中Plc为正，GDP和Plc*GDP均为负，请问Plc*GDP该怎么解释啊，它的经济意义该怎么解释啊，谢谢了！",财会
中国保险年鉴的业务统计表中“未决赔款”是什么？。,财会
"投资效率的财务数据用合并报表还是母公司报表。 
 如题，用合并报表做的，滞后的投资一直没通过显著检验。",财会
"长期股权投资顺逆流交易解读。
详细的解读了顺逆流交易的理论和会计处理原则",财会
"股价是财务数据吗？财务数据的范围是什么？。
感激不尽",财会
"企业是否进行管理会计信息化？。
在写小论文，想做个统计，想知道企业是否有管理会计信息化，这个怎么查询呢？",财会
"企业融资对应于财务报表的哪些项目？。
想做关于企业投融资决策的分析，知道企业的投资对应于现金流量表中购建无形资产、固定资产和其他长期资产的现金支出，求问企业的融资对应于资产负债表哪些项目的变化值，或者现金流量表中的哪些项目？",财会
"修正DD模型求残差，但模型分组回归有的不显著，残差还能使用吗。
有一个控制变量是盈余质量，需要用到修正的DD模型求出的残差，但是分行业分年度回归后p值不显著，残差还能使用吗?因为是分组回归，有的样本组显著，有的不显著。因为这个模型已经被很多人应用过了，所以不知道这种显著性情况是否会影响论文的结果？",财会
并购案中，如果对方使用收益法来对企业估值，最可能在那些地方做文章来提升估值。,财会
"预提所得税
如果母公司向自己注册在香港的全资子公司借款，子公司收取利息，那母公司是否要交预提所得税？子公司和全资子公司在此情形下会不会有所不同？",财会
贷款损失准备充足率=贷款实际计提准备/应提准备，那贷款实际计提准备、应提准备又该如何计算呀？是财务报表的哪些数据呀？,财会
我公司注册资金100万，估值1000万，现在增资扩股300万，给投资方30%的股权，增资后每股价是多少？怎么计算？我们相当于每股多少钱增资的？,财会
价值：公司金融的四大基石这本书中文译本怎么样？适不适合没什么财会背景的人看啊,财会
如果一家企业完全不分红，把它的所有净利润全部用于扩大再生产，用以赚取更多的利润。那是否意味着这家企业的自由现金流为零？,财会
社会核算账户里的laborcompensation和capitalcompensation是什么意思啊，是工资和赔偿金补贴还，是辞退补偿和别的什么？,财会
如何写实证研究文章，该做哪些准备工作，基本没任何经验，求大神指导,财会
"关于混合横截面数据在STATA中的处理？

目前收集了五年的数据，每年的公司都不一样，因此数据属于混合横截面数据。关于混合横截面数据，目前在论坛上看到两种处理方法：一、OLS+年度虚拟变量二、录入为面板数据+OLS

但是伍德里奇的书里说混合横截面数据不同于面板数据，因此想知道到底哪种方法更为可行？

又或者我是否可以将五年数据直接OLS回归，不考虑年度问题。

（我的样本量总共560个，平均每年100多个，每年公司都不相同。）",财会
请问可以从季度财报数据中判断这家公司本季度是否发行普通股吗？,财会
"复利终值计算。
现将1000元存入银行，利息率为6%，1年复利2次，5年后的复利终值是多少？",财会
"旧资产回购风险。
标书要求将本区域内已有的1,500个3G/4G基站进行替换，设备供应商需以账面资产净值（NBV）回购现网中1500个3G/4G基站的旧设备资产....

（这些基站设备尚未到达资产报废年限）


问题：站在供应商角度，这种商业模式有啥具体财务风险？怎么破？
谢谢！！",财会
"如何评估企业投资价值？。
现有一些上市公司的财务信息，包括每股指标，财务风险指标，成长能力指标，利润表，现金流量表，盈利能力指标，运营能力指标，资产负债表，其中哪些指标对企业的投资价值有关键影响呢？之前有个老师建议我计算指标的增长趋势。有没有哪位朋友有相关的计算经验呢？求助！",财会
"请问银行的合并初期、母公司期初、合并期末、母公司期末这四类财务报表有什么区别。
请问银行公布出来的年报里的合并初期、母公司期初、合并期末、母公司期末这四类财务报表分别指的是什么？有什么区别？如果要计算银行的一般性存款占比，负债数据应该用哪个财务报表里的负债数据？谢谢！",财会
"非经常性损益中，是否包括处置长期股权投资收益？。
非经常性损益中是否包括处置长期股权投资的收益？？？",财会
"专利申请。
麻烦各位大神们，想问问用专利申请数衡量创新的话，专利申请数有上市公司本身，上市公司本身小计，上市公司及子公司联营公司合计数这三个应该用哪个呢？",财会
"赫芬达尔指数计算问题。
我的样本中收集了五年的，不同行业上市公司的相关数据。请问在计算HHI指数时，是将同一行业五年的数据放在一起计算吗？还是分别计算同一行业每年的数据？",财会
"如何理解流动资产增加，现金确减少。
如果说用现金买了存货，现金的确少了，但流动资产不会增加阿。流动资产不是包含现金及存货么，本人业余爱好，不知理解对不对",财会
"如何用stata对richardson模型回归。
求助各位大牛，如何用stata回归richardson模型求残差，以便带入下一个模型继续计算。",财会
"企业生命周期。
要研究企业生命周期，看到了销售收入法、销售收入增长率法和现金流分类组合法等等...
请问要研究并购的话，用哪种方法来划分企业生命周期比较好呢？",财会
"IPO研读。
收集IPO招股说明书相关指引的书",财会
"政府补助案例研究。
想要研究政府补助对上市公司的绩效影响，但不知道如何选取典型研究对象，求大家指导一下",财会
"商业风险如何量化。
请教一下各位大神，商业风险用什么指标判断呀？商业风险就是经营风险吗？我看mba智库里说都是因为不确定性而引发的风险。",财会
"财报不披露研发支出资本化&费用化的明细，那么还可以从哪些间接数据中推算出来？。
如题
如果公司财报及附注都不披露研发支出是资本化处理，还是费用化处理的明细，那么还可以从哪些间接数据中推算出来？",财会
(另有200RMB悬赏)求解几道关于财务管理的题目，计算Beta、系统性风险等。,财会
"上市公司市场操纵实证分析因变量。
请问能将公司的非正常应计利润能作为因变量来体现市场操纵么？或者有什么更好的因变量建议么？",财会
"累计超额收益率怎么算。
在事件研究法中，想求（-30,0）累计超额收益率，是不是利用市场模型Ri=a+bRm+size+M/b??将（-150，-31）的实际收益率Ri和市场收益率Rm带进去，求出系数a和b，然后将（-30,0）的市场收益率Rm带入公式，即得到这31日每天的正常收益率，然后用每天的实际收益率-正常收益率即得到每天超额收益率AR~??是这样算的吗？
??市场收益率Rm怎么算？我看有人说用天相流通指数代表，这些数据能在数据库中查到吗？
??请帮忙解答呀~跪谢！！",财会
"边际效用和边际成本。
为什么当社会边际效益等于社会边际成本的时候就实现了帕累托最优",财会
"政府补助对上市公司的利弊案例分析。
8000字左右
不需要实证研究
要求有相关案例研究写作经验
会计学类相关专业",财会
"请教学习USGAAP经验。
请教学习USGAAP经验",财会
"决策树问题。
假如现在某项目有50%的可能性赚30元，50%的可能性损失50元。如果我现在有了放弃项目的权利，那么这个权利（期权）的价值是10元，我的理解对吗？",财会
银行财务报表分析颠覆我的认知。,财会
"PEG权益资本成本。 
 用PEG方法计算权益资本成本，分析师预测的每股收益这个数据:每个公司每年的预测值都有很多请问要怎么选呢，或者说能不能用实际值代替预测值呢？",财会
"对价收购过程中，财务是如何影响对价。
小白从事财务工作，为客户进行收购尽调过程中的财务梳理，想请教各位大佬，尽调全过程是怎么样的，财务是如何影响对价的博弈，我们站在哪个角度才最能给出客户需要的报告",财会
我国的特殊制度背景下，代理成本理论。,财会
请问income-decreasingaccruals什么意思？,财会
有色金属、黄金行业税收筹划怎么做？求大神帮助,财会
住房租赁企业属于什么行业，适用什么会计准则？,财会
母公司长期股权投资额数与合并报表的长期股权投资数之间的差额如何理解？,财会
请问在什么数据库中可以找到CVC和IVC数据？我想知道被投资企业是CVC融资还是IVC融资，以及其各自持股比例,财会
"求问，房地产企业的主营业务收入与房价有什么关系？
理论上来讲房地产企业的主营业务收入就是卖房子的收入（卖房数量*房价），那么是否可以用主营业务收入中的么偶一部分来代替房价",财会
"以旧换新与非货币性资产交换。
以旧换新与非货币性资产交换业务都涉及到实物资产的交换，那么实务中应怎么区分?谢谢！",财会
"真实盈余管理会影响应计项目吗？。
这是盈余管理会直接影响现金流，并且有时会影响应计项目
应计项目盈余管理对现金流无直接影响，它会影响应计项目。
这样的解释对吗？（明天有关于盈余管理的答辩，但本人不是学会计专业的，麻烦大家帮忙看看）",财会
"关于房地产项目股权并购的税筹安排。
房地产项目进行股权并购时，土地成本是以历史价格入账还是并购价格入账？以及是否需要缴纳增值税？",财会
"40岁转行做会计有前途吗。
由于本人的工作很不如意，想转行，但是年龄又比较大了，不知道现在转行到会计这一行，是否来得及，还有没有前途了，请赐教！",财会
"一位小白的注会梦如何实现。
我是一名财会小白，没有接触过注会，迫于生计，想考注会。有没有大神指点一下考注会的攻略，越详细越好，谢谢！",财会
"房产税是否能有效的调节房价。
高房价是无房人反对，有房人支持的事，这点容易理解，想买的，希望价格低些，买了的，当然指望着价格再上涨些，这不是道德上的差别。韩非子说过：卖轿子，希望别人都升官发财；卖棺材，希望多死些人。他们没有道德上的好坏，有的是利益来源的差别。由此可见，打压房价不是所有人的诉求。政府在调控房市方面，近些年来，动作频频，但效果平平。自2017年，厦门市首创限售制度以来（且不论是否合法），全国诸多城市跟着效仿，在一定程度上控制了房价上涨的压力。但是，在所有调控手段中，呼声最高的是房产税，人们认为只要按年收税，增加持有房产的成本，进一步压缩房产的投资需求，从而，有效地控制房价。甚至，有人认为多收点房产税，搞跨炒房的人。但是，房产税是否真有这样的作用？房产税会不会再转嫁给租房的人，而且，会不会因房租上涨而提升房产投资收益率，从而再进一步刺激投资的需求呢？",财会
"jones模型的回归系数，分行业分年度的问题。
这个模型是分年度分行业计算的。如果理解分行业分年度？是说同一行业用一年度的模型回归出来的回归系数都相同的吗？而同一行业的每个年份的系数都是不同的？同一个年度但不用行业的系数也是不同的？请赐教，谢谢。",财会
"csmar数据求助。
请问怎么找到独立董事的年薪，在哪个数据里有？现在只能找到前三高管薪酬和前三董事薪酬。要每个独立董事的年薪…谢谢",财会
求教一个关于证监会【重大资产重组】定义相关的问题。,财会
"1990-2015年跨国并购数据。
1990-2015年跨国并购数据",财会
"上市公司应收账款管理论文的写作如何入手，。
上市公司应收账款管理论文的写作如何入手，",财会
求问计算EBIT是否需要扣除非经常性损益。,财会
"学习曲线与目标成本法结合。
各位大神，想请教大家一个问题:
如果运用目标成本法在不考虑学习曲线的影响下，产品的成本容易估计。但是由于学习曲线影响，生产量增多，成本就会下降，这个会跟目标成本法下估算出来的成本有偏差。问题就是，在考虑学习曲线效应的前提下企业应该怎样运用目标成本法估计新产品的成本呢？",财会
请问我国沪深两市采用公允价值计量投资性房地产的公司有多少家呀？能附上名单吗？。,财会
"保险投资收益率的计算口径及数据。
近期在研究分析保险资产投资方面的内容，有没有了解以下内容：1、保险投资收益率计算公式？2、近年来，各大保险公司投资收益率的年度数据？
谢谢各位！",财会
"润灵环球，数据对应问题。
我想弱弱的问一句，2016年发布的润灵环球针对的是2015年的数据吗，如果我有2016年润灵环球数据，应该跟2015年的其他数据相对应吗？？？希望大家可以指点一下",财会
"计算年化利率。
首月提前预支5万元。之后的50个月里，每个月还款1150元（1000本金+150利息），50个月还完。总累计利息为7500。
想问实际年化利率怎么算？",财会
"存货在运输途中的合理损耗。
某工业企业为增值税一般纳税人。购入乙材料3000吨，收到的增值税专用发票上注明的售价为每吨1500元，增值税额为765000元。另发生运输费用60000元（可抵扣进项税7%），装卸费用21000元，途中保险费用19200元。原材料运抵企业后，验收入库原材料为2900吨，运输途中发生合理损耗20吨。该原材料的入账价值为(????)元。


这道题为什么要用4596000×1-80/3000
而不是把材料的吨数一开始就算为2980吨?求大神解答",财会
"新收入准则的实施引起的问题。
谁能谈谈新收入准则的实施会给你所在的企业带来的问题或者难点吗？",财会
"已知含税收入如何计算税金及附加。
如题，已知含税收入500万，增值税率17%，如何计算税金及附加？
以下两种算法：
500/(1+17%)*0.17*(1+12%)500/(1+17%*(1+12%))*0.17*(1+12%)
哪种是正确的？为什么？

求大神答疑解惑！",财会
"求问这几条会计分录怎么写，要算增值税的。。
4、周宁采购空白光盘1000张，每张2元，材料直接入库，货款以银行存款支付，转帐支票号ZP003。

6、15日，于苗从上海明达公司购入多媒体学习光盘150张，单价60元，货税款暂欠，商品已验收入库。

11、24日，销售中心林丽、赵会向大连海达公司销售英语口语学习软件100套，每套200元，货款未收。

14、31日，计提本月短期借款利息。（随便填数字）",财会
"求助政府审计和国家审计区别是什么？。
政府审计和国家审计区别是什么？",财会
"证监会IPO改革。
IPO改革偏爱独角兽，会不会反而扼杀创新？",财会
